２/に	ヲ格,ガ格#ト節,ガ格
定義付ける/ていぎづける	ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格
逸れる/それる	ニ格,ガ格
反れる/それる	ニ格,ガ格
剃れる/それる	ニ格,ガ格
定式化/定式化	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
剃れる/それる	ガ格#ヲ格,ガ格#ガ格
呈す/ていす	ヲ格,ガ格#ニ格,ヲ格,ガ格
呈する/ていする	ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
呈す/ていす	ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
定住/ていじゅう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
呈示/呈示	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
定植/定植	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
呈する/ていする	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
定まる/さだまる	によって,ニ格,ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格
定める/さだめる	ニ格,ヲ格,ガ格#によって,ニ格,ヲ格,ガ格#によって,ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
定義/ていぎ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
提げる/さげる	ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格
定量/ていりょう	ヲ格,ガ格#ヲ格,ガ格
抵抗/ていこう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格#ニ格,ガ格
底上げ/そこあげ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
弟子入り/でしいり	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
抵触/ていしょく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
定着/ていちゃく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
提案/ていあん	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
提言/ていげん	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ニ格,ヲ格,ガ格
提起/ていき	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ト節,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
提供/ていきょう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#をのぞいて,ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#をのぞいて,によって,ニ格,ヲ格,ガ格#によって,ニ格,ヲ格,ガ格
閉まる/しまる	ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
締まる/しまる	ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
梯子/はしご	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
提訴/ていそ	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
締まる/しまる	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格
提唱/ていしょう	ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
提示/ていじ	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
提出/ていしゅつ	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#によって,ト節,ニ格,ヲ格,ガ格#によって,ニ格,ガ格#によって,ニ格,ヲ格,ガ格
締め出す/しめだす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
締め括れる/しめくくれる	ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格
締め切る/しめきる	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
締結/ていけつ	によって,ト節,ニ格,ヲ格,ガ格
締める/しめる	ガ格#ガ格#ヲ格,ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
締め括る/しめくくる	ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ト節,ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格
諦める/あきらめる	ニ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ト節,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ニ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ガ格#ト節,ガ格
敵視/てきし	ヲ格,ガ格#ヲ格,ガ格
摘み取る/つみとる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
摘み出す/つまみだす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ガ格
摘発/てきはつ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格
摘まめる/つまめる	ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ガ格
摘める/つめる	ガ格#ガ格#ガ格#ヲ格,ガ格
摘まめる/つまめる	ガ格#ガ格#ガ格#ヲ格,ガ格
摘む/つむ	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
摘まむ/つまむ	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
摘出/てきしゅつ	ガ格#ニ格,ヲ格,ガ格
摘まむ/つまむ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
詰む/つむ	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
積む/つむ	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
摘む/つむ	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
詰める/つめる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
積める/つめる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
摘める/つめる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
適する/てきする	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
適う/適う	ガ格#ニ格,ガ格
適合/てきごう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
滴る/したたる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
溺れる/おぼれる	ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
適す/てきす	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
適応/てきおう	ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
的中/てきちゅう	ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
適用/てきよう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格
適する/てきする	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
適す/てきす	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
哲学/てつがく	ヲ格,ガ格#ト節,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
徹す/てっす	ガ格
溺愛/溺愛	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
徹夜/てつや	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ガ格
溺死/できし	ニ格,ガ格#ガ格#ガ格#ガ格
徹する/てっする	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
撤収/てっしゅう	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
撤去/てっきょ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
徹する/てっする	ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
徹す/てっす	ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
天引き/てんびき	ヲ格,ガ格#ガ格
天下る/あまくだる	ニ格,ガ格#ニ格,ガ格
展/てん	ニ格,ガ格#ヲ格,ガ格
添う/そう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
添削/てんさく	ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
店/みせ	ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
店/てん	ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
展望/てんぼう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
添加/てんか	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
展示/てんじ	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
添える/そえる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
纏わり付く/まつわりつく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
添付/てんぷ	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
纏わる/まつわる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
纏まる/まとまる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格
纏う/まとう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
